rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length,Unnamed: 0
4921,1,00:29:02,52282,19,20,27,lob,0.0,1,1.0,3,1.1280487804878048,1.6283333333333332,,,2,269.9,393.54,8,214.4,653.75,0,0,4920,46,0.0
4921,2,00:32:01,57647,2,0,7,smash,1.0,0,2.0,5,1.0353658536585364,1.0599999999999998,,,8,229.5,245.84,8,228.2,710.41,0,0,4920,46,1.0
4921,3,00:23:27,42227,16,15,27,clear,0.0,0,1.0,8,0.479268292682927,1.17984375,,,8,163.8,290.36,8,209.7,611.26,0,0,4920,46,2.0
4921,4,00:15:16,27481,11,6,7,clear,0.0,0,1.0,3,-0.8951219512195122,-1.3766145833333334,,,8,236.2,756.5,8,194.4,273.59,0,0,4920,46,3.0
4921,12,00:47:18,85160,15,13,7,short service,0.0,1,2.0,7,-0.4975609756097562,0.5412499999999998,,,8,182.2,315.7,8,122.8,675.31,0,0,4920,46,11.0
4921,13,01:19:59,143988,19,11,27,long service,0.0,0,1.0,9,-0.6658536585365853,-1.5480208333333334,,,8,199.6,661.68,8,121.6,249.79,0,0,4920,46,12.0
4921,16,00:45:34,82049,17,10,7,clear,0.0,0,1.0,8,0.7134146341463414,1.2971354166666664,,,9,126.8,193.67,8,190.4,681.28,0,0,4920,46,15.0
4921,17,00:10:53,19599,5,4,27,clear,0.0,0,1.0,4,-1.103658536585366,1.5694270833333337,,,8,133.9,269.3,9,135.2,764.12,0,0,4920,46,16.0
4921,18,00:06:37,11929,3,0,7,clear,0.0,0,1.0,5,-1.225609756097561,-1.32890625,,,9,142.0,762.5,8,156.2,325.96,0,0,4920,46,17.0
4921,19,00:43:06,77604,9,8,27,push/rush,0.0,0,1.0,4,1.2646341463414632,-1.3944791666666667,,,8,228.4,619.57,8,181.0,303.2,0,0,4920,46,18.0
4921,21,00:30:47,55437,21,20,27,drop,0.0,1,2.0,1,1.5341463414634149,0.3948958333333336,,,8,206.4,264.15,8,158.7,679.67,0,0,4920,46,20.0
4921,22,00:36:55,66458,7,7,7,drop,0.0,0,2.0,6,-1.1012195121951218,0.8175000000000002,,,8,242.6,213.74,8,235.5,615.64,0,0,4920,46,21.0
4921,26,00:25:34,46028,18,17,7,drop,1.0,0,2.0,8,0.5060975609756098,-0.6347395833333334,,,8,150.4,720.39,8,157.9,311.39,0,0,4920,46,25.0
4921,27,00:40:28,72846,8,6,27,defensive shot,0.0,1,2.0,1,-1.0158536585365854,-0.2898958333333334,,,8,194.9,679.28,9,217.9,201.42,0,0,4920,46,26.0
4921,28,00:14:21,25835,9,6,7,smash,1.0,0,2.0,8,0.8621951219512194,-0.9253125,,,9,130.4,757.12,8,150.5,292.59,0,0,4920,46,27.0
4921,30,00:27:40,49817,20,18,7,clear,1.0,0,1.0,6,1.0707317073170732,-1.2026041666666667,,,8,124.9,749.6,8,135.8,301.42,0,0,4920,46,29.0
4921,32,00:21:10,38115,14,9,7,lob,0.0,1,1.0,9,0.7817073170731706,-1.44453125,,,8,109.4,595.03,8,168.9,297.73,0,0,4920,46,31.0
4921,34,00:32:57,59328,4,0,7,drop,0.0,0,2.0,2,-1.3987804878048782,0.5198958333333336,,,8,112.1,217.57,8,165.7,679.46,0,0,4920,46,33.0
4921,35,00:07:06,12802,1,0,27,drop,1.0,0,2.0,7,-0.7707317073170732,-0.3602604166666667,,,8,155.7,682.33,8,210.3,229.34,0,0,4920,46,34.0
4921,38,00:19:40,35408,13,11,7,net shot,0.0,1,1.0,1,-0.9743902439024392,-0.2905729166666668,,,8,128.6,635.05,8,239.4,217.27,0,0,4920,46,37.0
4921,40,00:32:01,57634,3,3,7,defensive shot,0.0,1,2.0,1,1.0414634146341462,0.3975000000000002,,,8,199.1,297.53,9,116.9,781.7,0,0,4920,46,39.0
4921,42,00:20:42,37283,14,8,7,net shot,0.0,0,2.0,2,1.1621951219512197,-0.1335937499999998,,,8,234.9,595.83,8,152.9,271.13,0,0,4920,46,41.0
4921,45,00:54:18,97762,18,15,27,push/rush,0.0,0,1.0,4,1.1341463414634143,-1.4583333333333333,,,8,241.8,625.02,8,122.3,220.16,0,0,4920,46,44.0
4921,46,00:14:42,26473,10,6,7,defensive shot,0.0,0,2.0,7,0.3792682926829268,0.1655729166666667,touched the net,27.0,8,152.5,728.63,1,87.7,466.78,0,0,4920,46,45.0
4922,3,0:40:22,72667,5,4,11,net shot,0.0,1,2.0,1,-1.2439024390243902,-0.05109375,,,8,108.5,636.8,8,136.0,211.04,0,0,4921,5,48.0
4922,4,00:13:17,23918,8,5,28,short service,0.0,0,2.0,8,0.5695121951219511,-0.6982291666666667,,,8,165.4,662.08,8,227.8,252.05,0,0,4921,5,49.0
4922,5,00:22:16,40106,13,5,11,smash,0.0,0,2.0,5,1.4609756097560975,1.255520833333333,opponent's ball landed,28.0,8,109.6,254.0,8,189.6,736.6,0,0,4921,5,50.0
4923,2,00:40:02,72078,13,9,24,defensive shot,0.0,0,2.0,5,-0.9719512195121952,-0.7505729166666667,,,8,133.3,699.81,8,135.8,217.27,0,0,4922,33,52.0
4923,3,00:17:21,31234,14,10,25,smash,0.0,0,2.0,8,-0.0999999999999998,-1.079375,,,8,189.0,675.58,8,166.4,316.48,0,0,4922,33,53.0
4923,4,00:35:22,63673,8,7,24,net shot,0.0,1,2.0,7,-0.676829268292683,-0.4219270833333333,,,8,245.3,614.13,8,162.8,222.94,0,0,4922,33,54.0
4923,6,00:27:14,49042,17,18,24,net shot,0.0,0,2.0,1,1.0121951219512195,0.2865104166666666,,,8,213.9,335.14,8,160.0,683.17,0,0,4922,33,56.0
4923,7,00:21:07,38036,16,14,25,smash,0.0,0,2.0,8,-0.0390243902439023,-1.1874479166666667,,,8,191.7,731.12,8,193.0,257.44,0,0,4922,33,57.0
4923,9,00:07:02,12677,2,0,25,defensive shot,0.0,1,2.0,1,-0.9085365853658536,-0.5248958333333332,,,8,213.2,641.45,8,183.2,311.88,0,0,4922,33,59.0
