rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
4921,2,00:23:24,42147,16,10,3,defensive shot,0.0,0,2.0,7,-0.1048780487804877,-0.3313020833333334,,,8,186.3,664.18,8,182.8,316.01,0,0,14918,6
4921,3,00:28:52,51963,17,14,26,drive,0.0,0,1.0,8,-0.1036585365853658,1.041875,,,8,154.3,234.41,8,175.1,727.81,0,0,14919,6
4921,4,00:07:00,12602,1,0,3,push/rush,0.0,0,1.0,4,0.926829268292683,-1.5770833333333334,,,8,155.1,620.19,8,176.5,267.45,0,0,14920,6
4923,1,01:06:02,118879,9,5,19,net shot,0.0,1,2.0,7,0.8195121951219511,0.2569791666666668,,,7,248.3,402.19,8,223.7,609.38,0,0,14921,2
4923,2,00:27:10,48912,18,18,29,drop,1.0,0,2.0,1,-1.2097560975609756,-0.1213541666666667,not pass over the net,19.0,8,232.4,228.72,8,202.6,677.02,0,0,14922,6
4924,1,00:45:58,82757,3,1,9,net shot,0.0,1,2.0,1,1.4048780487804875,0.1818229166666668,,,2,253.6,408.26,8,225.7,632.03,0,0,14923,6
4924,2,01:05:07,117224,10,5,34,net shot,0.0,1,2.0,1,1.0682926829268296,0.4296875,,,8,198.5,311.49,8,128.9,731.13,0,0,14924,6
4924,3,00:14:47,26632,5,9,9,lob,0.0,0,1.0,9,-0.4292682926829267,-1.4583333333333333,,,8,227.7,615.07,8,179.2,295.52,0,0,14925,6
4924,4,00:50:02,90064,15,18,34,short service,0.0,1,2.0,8,0.2695121951219511,-0.5540625,,,8,165.9,645.69,8,228.6,301.39,0,0,14926,6
4925,1,00:23:44,42746,15,16,29,smash,0.0,0,2.0,6,-1.275609756097561,0.9872916666666663,,,9,153.7,187.61,8,196.0,716.04,0,0,14927,5
4925,2,00:41:25,74561,20,18,6,net shot,0.0,0,2.0,1,0.9573170731707316,0.4678645833333335,,,8,205.1,350.43,8,182.3,653.88,0,0,14928,5
4925,5,00:37:27,67419,26,24,29,drop,1.0,0,2.0,2,1.020731707317073,0.0183854166666665,touched the net,6.0,8,207.9,204.96,8,153.2,732.78,0,0,14929,5
4926,1,00:58:27,105214,0,1,19,lob,0.0,1,,4,-1.4621951219512197,1.6236458333333337,,,7,227.4,373.6,8,181.8,645.86,0,0,14930,22
4926,2,00:59:57,107926,15,16,31,short service,0.0,1,2.0,7,-0.3987804878048779,0.3729166666666668,,,8,183.4,356.71,8,124.1,680.97,0,0,14931,22
4926,3,01:06:40,120019,10,5,19,defensive shot,0.0,0,2.0,7,0.0841463414634147,0.5203645833333331,,,8,117.9,295.63,8,133.2,744.31,0,0,14932,22
4926,4,00:52:12,93965,13,9,31,defensive shot,0.0,1,1.0,7,-0.4170731707317072,0.6205208333333333,,,8,170.9,293.11,8,217.0,752.02,0,0,14933,22
4926,5,01:16:38,137969,20,10,19,net shot,0.0,0,2.0,1,-1.0353658536585366,-0.2551041666666667,,,8,154.9,595.97,8,154.6,296.46,0,0,14934,22
4926,7,00:50:57,91722,18,18,19,defensive shot,0.0,0,2.0,2,1.2378048780487805,-0.2916666666666667,,,8,246.0,685.42,8,225.0,224.86,0,0,14935,22
4926,8,00:48:42,87666,10,9,31,defensive shot,0.0,1,1.0,8,-0.0560975609756096,0.6798958333333331,,,8,163.0,287.93,5,260.3,704.74,0,0,14936,22
4926,11,01:12:52,131176,17,7,19,drop,0.0,0,2.0,7,0.7426829268292684,-0.5004687499999999,,,9,152.7,772.56,8,156.8,312.25,0,0,14937,22
4926,13,00:58:11,104743,0,1,19,smash,0.0,0,2.0,8,-0.6341463414634146,0.91671875,,,8,219.5,207.1,8,206.7,666.78,0,0,14938,22
4926,14,00:49:29,89098,11,9,31,lob,0.0,1,1.0,9,-0.7085365853658536,1.6291666666666664,,,8,234.8,356.19,8,232.0,708.1,0,0,14939,22
4926,15,00:18:07,32634,14,5,19,clear,0.0,0,1.0,3,1.124390243902439,1.5280208333333334,,,8,239.0,204.01,8,222.5,668.85,0,0,14940,22
4926,16,00:39:10,70523,5,3,31,defensive shot,0.0,1,2.0,2,-0.8817073170731707,0.4369791666666665,,,8,164.1,287.92,8,246.6,750.47,0,0,14941,22
4926,17,00:49:03,88295,17,17,19,short service,0.0,1,2.0,7,-0.6280487804878049,-0.1683333333333333,,,8,187.2,644.05,8,132.4,314.81,0,0,14942,22
4926,18,00:32:13,58001,2,0,31,net shot,0.0,1,2.0,2,-1.198780487804878,0.3450520833333333,,,8,148.0,350.07,8,197.4,656.26,0,0,14943,22
4926,20,00:47:10,84912,15,5,31,net shot,0.0,1,2.0,2,-0.9585365853658536,0.2689583333333332,,,8,136.2,335.64,8,161.2,659.57,0,0,14944,22
4926,21,00:20:30,36901,16,7,19,push/rush,0.0,0,1.0,8,0.8378048780487803,1.0435416666666668,,,8,108.2,356.53,8,129.8,654.45,0,0,14945,22
4926,22,00:08:36,15502,3,1,31,drop,1.0,0,2.0,6,1.0951219512195125,-0.6566666666666666,opponent's ball landed,19.0,8,114.2,740.77,8,140.6,282.91,0,0,14946,22
4927,1,00:39:03,70303,7,11,32,defensive shot,0.0,1,2.0,10,2.253658536585366,-1.20390625,not pass over the net,32.0,8,134.4,290.84,9,168.2,761.76,0,0,14947,1
4928,1,00:24:40,44405,19,9,23,push/rush,0.0,1,2.0,7,-0.0390243902439023,0.2312499999999998,touched the net,3.0,2,99.4,587.84,8,134.2,337.57,0,0,14948,1
4929,3,01:11:37,128931,15,7,10,defensive shot,0.0,1,2.0,7,0.5951219512195123,0.5016666666666669,,,8,213.5,322.8,8,217.6,627.17,0,0,14949,12
4929,4,01:14:45,134576,19,7,19,push/rush,0.0,0,1.0,8,0.9170731707317072,-0.96046875,,,8,225.1,611.41,8,168.2,330.96,0,0,14950,12
4929,5,00:18:30,33300,10,9,10,lob,0.0,1,1.0,9,-0.8451219512195122,1.5410416666666666,,,8,208.7,321.81,8,172.2,629.72,0,0,14951,12
4929,6,00:24:00,43229,20,11,19,short service,0.0,1,2.0,7,-0.2560975609756097,0.3088541666666664,,,8,181.8,322.09,8,120.4,659.88,0,0,14952,12
4929,9,00:57:34,103631,12,9,10,short service,0.0,1,2.0,8,0.3170731707317073,-0.5882291666666667,,,8,169.2,621.76,8,232.9,319.77,0,0,14953,12
4929,10,00:54:59,98975,20,22,19,defensive shot,0.0,1,2.0,1,-1.3146341463414637,-0.2295312499999999,,,8,217.9,690.29,9,246.3,189.75,0,0,14954,12
4929,12,00:50:23,90702,17,18,19,defensive shot,0.0,1,2.0,1,-1.1134146341463411,-0.298125,no such data,30.0,8,218.1,684.99,9,186.1,177.25,0,0,14955,1
4931,1,00:12:58,23369,3,3,23,drop,0.0,0,2.0,5,-1.003658536585366,-0.6323958333333334,,,3,269.0,781.75,8,182.2,320.65,0,0,14956,8
4931,2,00:08:18,14949,3,2,25,short service,0.0,1,2.0,7,0.4097560975609755,-0.3842708333333332,,,8,168.8,625.25,8,207.4,300.07,0,0,14957,8
4931,5,01:03:49,114875,16,7,23,drop,0.0,1,2.0,1,1.119512195121951,0.5016145833333331,,,8,236.0,256.05,8,231.0,681.49,0,0,14958,8
4932,1,00:06:38,11940,2,3,6,smash,0.0,0,2.0,6,0.971951219512195,-0.9873958333333333,,,9,204.4,765.26,8,160.6,303.54,0,0,14959,2
4934,2,00:12:31,22553,10,5,4,short service,0.0,1,2.0,2,-0.9365853658536584,0.6346875000000001,,,8,188.1,285.54,8,138.0,630.13,0,0,14960,4
4934,3,00:25:34,46043,14,17,1,defensive shot,0.0,0,2.0,7,0.2512195121951219,-0.3829687499999998,no such data,11.0,8,198.8,678.34,10,94.7,135.07,0,0,14961,1
4936,3,00:10:35,19076,4,4,29,clear,1.0,0,1.0,5,1.4402439024390246,1.3517708333333331,,,8,209.3,241.25,8,221.2,732.39,0,0,14962,5
